label,sim_id,final_status,grid_mw,transformer,Cumulative_Carbon_g,Cumulative_Scope2_Carbon_g,Cumulative_Scope1_Carbon_g,Cumulative_Cost_EUR,Cumulative_Unserved_kWh,Cumulative_EqualService_Carbon_g,Cumulative_EqualService_Cost_EUR,Cumulative_EqualService_Unserved_kWh,Cumulative_Passive_Carbon_g,Cumulative_Passive_Cost_EUR,Cumulative_Passive_Unserved_kWh,Cumulative_Backup_Energy_kWh,Cumulative_Backup_Fuel_Cost_EUR,Cumulative_Grid_Energy_kWh,Cumulative_PV_Energy_kWh,Cumulative_DC_Energy_kWh,Cumulative_BESS_Throughput_kWh,Cumulative_BESS_Discharge_kWh,Cumulative_Congestion_Served_kWh,Replan_Count,Min_SOC_Overall,Min_SOC_During_Curtailment,Grid_Compliance_Rate,Cumulative_Grid_CFE_kWh,Grid_CFE_Coverage,CFE_Score,Grid_CFE_Pct,CFE_24x7_Score,Served_Energy_kWh,CI_Served_gPerKWh,EqualService_CI_Served_gPerKWh,NPV_EUR,LCOS_EUR_per_kWh
grid_2MW_shared,sw-axis8gridlimit-gr-a96ecd0a,"all models terminated successfully, the simulation has been terminated",2.0,shared,812573879.6108929,10707425.195449581,801866454.4154434,536834.5812471695,0.0,286011102.20302236,102208.1598349503,0.0,6060498.52526755,1617.2407196880697,1374696.996587922,1336444.0906924047,534577.636276958,70439.66610861558,55031.27418549319,1483616.5,54804.34277754923,38252.90589551699,38252.90589551699,1089.0,0.0,0.0,1.0,52007.6443048075,1.0,0.03709265445989121,73.83289441578765,0.07214729580744127,1483616.5,547.6980605236548,192.7796719725228,-21524962.01497315,0.5156739582383478
grid_3MW_shared,sw-axis8gridlimit-gr-63693cab,"all models terminated successfully, the simulation has been terminated",3.0,shared,767957376.3127389,22971029.60053212,744986346.7122068,501982.235750406,0.0,286011102.20302236,102208.1598349503,0.0,13727157.336084036,3846.0050078212766,1313941.885526462,1241643.9111870101,496657.5644748006,154834.31895986656,55031.27418549319,1483616.5,119647.98611723277,75915.23871745598,72871.30504328937,1025.0,0.0,0.0,1.0,111884.35826020097,1.0,0.03709265445989121,72.26069711922308,0.11250591540717844,1483616.5,517.6252598381986,192.7796719725228,-19887811.858989365,0.259842789544235
grid_4MW_shared,sw-axis8gridlimit-gr-5e1683dc,"all models terminated successfully, the simulation has been terminated",4.0,shared,665051877.574965,56684380.59328864,608367496.9816763,419176.57654340036,0.0,286011102.20302236,102208.1598349503,0.0,34030122.25529308,10936.149514788814,1179406.015246043,1013945.8283027927,405578.3313211143,313389.5682639127,55031.27418549319,1483616.5,258814.2830463708,180176.25273340748,167360.49685142486,918.0,0.0,0.0,1.0,216595.46077113575,1.0,0.03709265445989121,69.1138068095284,0.18308419659435504,1483616.5,448.2640072922922,192.7796719725228,-15998108.140205832,0.10948183846651152
grid_6MW_shared,sw-axis8gridlimit-gr-91fe16cf,"all models terminated successfully, the simulation has been terminated",6.0,shared,486019013.980188,146052362.38363898,339966651.59654784,273853.1281837219,0.0,286011102.20302236,102208.1598349503,0.0,120910174.27582794,40881.85229775194,730050.0685016514,566611.0859942464,226644.43439769826,833386.1576514653,55031.27418549319,1483616.5,489892.3487359783,260302.17280011548,175300.37593593905,936.0,0.0,0.0,1.0,514424.71923588624,1.0,0.03709265445989121,61.727053480893844,0.3838296442654685,1483616.5,327.5907311493152,192.7796719725228,-9171700.82789904,0.07578126292632899
grid_10MW_shared,sw-axis8gridlimit-gr-08738ba3,"all models terminated successfully, the simulation has been terminated",10.0,shared,283652557.3857784,268218702.5261144,15433854.859663555,107369.14948975806,0.0,286011102.20302236,102208.1598349503,0.0,250874322.0327117,89116.25999373384,135251.45059733768,25723.091432772602,10289.236573109032,1455150.663106233,55031.27418549319,1483616.5,961958.0408564374,459010.30174268445,123195.82766406199,1006.0,0.0,0.0,1.0,814358.9313987016,1.0,0.03709265445989121,55.96389102832367,0.5859938909982431,1483616.5,191.18994523569833,192.7796719725228,-1351301.1445280933,0.04297513001858168
grid_2MW_dedicated,sw-axis8gridlimit-gr-ddae9d8e,"all models terminated successfully, the simulation has been terminated",2.0,dedicated,276331298.323197,276331298.323197,0.0,100502.64287439844,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1469091.7518961958,55031.27418549319,1483616.5,658431.6318585603,312344.04612479475,0.0,919.0,42.54982384364255,nan,1.0,811802.1009428881,1.0,0.03709265445989121,55.25877467456157,0.5842705140636959,1483616.5,186.25520700477313,192.7796719725228,-1028754.635357179,0.06315480522839512
grid_3MW_dedicated,sw-axis8gridlimit-gr-b58eaeba,"all models terminated successfully, the simulation has been terminated",3.0,dedicated,277160753.1978369,277160753.1978369,0.0,101276.17857973467,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1481113.6340229302,55031.27418549319,1483616.5,842961.1771804085,399880.40073860635,0.0,963.0,37.58659124999954,nan,1.0,817403.9289619558,1.0,0.03709265445989121,55.18846833796015,0.5880463065404362,1483616.5,186.81428333928403,192.7796719725228,-1065090.6145459493,0.04932981801764967
grid_4MW_dedicated,sw-axis8gridlimit-gr-e78e619f,"all models terminated successfully, the simulation has been terminated",4.0,dedicated,278469466.7938354,278469466.7938354,0.0,102075.62786836411,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1487970.8287128117,55031.27418549319,1483616.5,946833.7329260012,449155.02967977023,0.0,970.0,42.12455854485778,nan,1.0,818590.2575530619,1.0,0.03709265445989121,55.01386463746698,0.5888459259778758,1483616.5,187.6963937741562,192.7796719725228,-1102643.855480691,0.04391808194004674
grid_6MW_dedicated,sw-axis8gridlimit-gr-a7569e9e,"all models terminated successfully, the simulation has been terminated",6.0,dedicated,278493066.2433645,278493066.2433645,0.0,102355.89221230979,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1491911.8306176213,55031.27418549319,1483616.5,1011534.6876804937,479847.59822951327,0.0,956.0,34.15581465460525,nan,1.0,820698.14821373,1.0,0.03709265445989121,55.009829091172065,0.5902667046364227,1483616.5,187.71230047883972,192.7796719725228,-1115808.9612394974,0.04110894265188179
grid_10MW_dedicated,sw-axis8gridlimit-gr-ee651493,"all models terminated successfully, the simulation has been terminated",10.0,dedicated,278332486.74719393,278332486.74719393,0.0,102236.2529047195,0.0,286011102.20302236,102208.1598349503,0.0,286011102.20302236,102208.1598349503,0.0,0.0,0.0,1492045.0418657984,55031.27418549319,1483616.5,1015924.8411187606,481930.1808789406,0.0,950.0,34.15581465460525,nan,1.0,821208.3649624237,1.0,0.03709265445989121,55.03911356023842,0.5906106053336,1483616.5,187.6040653006986,192.7796719725228,-1110189.0378658634,0.040931297063164
